ASV,NR3_R1,NR3_R2,NR3_R3,SR3_R1,SR3_R3,SR3_R2,SR4_R3,SR4_R2,SR4_R1,SR5_R1,SR5_R2,SR5_R3
ASV_1,24,0,2407,5,0,4035,14,0,0,0,989,0
ASV_2,407,0,3096,0,3,3412,1,0,0,0,774,4
ASV_3,442,0,2325,0,0,2677,0,0,8,0,514,0
ASV_4,0,0,0,325,8637,100,420,1070,121,1713,15,5315
ASV_5,272,0,1851,0,0,1002,0,0,0,0,551,0
ASV_6,5531,0,391,0,0,495,0,0,0,0,278,0
ASV_7,1869,0,6,1,0,0,1,0,0,0,1,0
ASV_8,423,0,2190,0,0,0,0,0,1,0,85,0
ASV_9,0,0,657,0,2,29,0,0,0,0,48,0
ASV_10,580,44,28,1539,4564,0,323,702,30,239,189,353
ASV_11,1682,0,836,0,0,187,0,0,0,0,65,0
ASV_12,0,0,3,0,2,3155,0,0,6,0,2132,0
ASV_13,57,3184,0,81,234,34,33,361,455,48,0,31
ASV_14,8,0,1097,0,0,0,0,0,0,0,379,0
ASV_96,0,0,0,0,460,0,1483,541,0,4790,149,127
ASV_16,0,0,0,0,0,2426,0,0,0,0,1583,0
ASV_17,2673,0,168,0,0,0,0,0,0,0,61,0
ASV_18,785,0,606,0,0,0,0,0,0,0,12,0
ASV_19,82,0,585,0,0,0,0,0,0,0,134,0
ASV_20,0,624,0,830,258,10,83,555,5,70,0,3
ASV_21,0,38,0,111,146,152,536,361,280,95,0,15
ASV_22,0,0,0,37,0,0,0,140,0,0,0,0
ASV_23,0,23,23,1424,85,0,116,406,764,32,0,45
ASV_24,171,0,15,0,0,0,0,0,0,0,69,0
ASV_25,111,0,517,0,0,0,0,0,0,0,126,0
ASV_26,587,0,94,0,0,185,0,0,0,0,16,0
ASV_97,187,0,42,0,0,0,0,0,0,0,20,0
ASV_28,12,934,0,60,94,0,31,255,166,92,4,313
ASV_29,0,401,0,2,7,110,147,26,488,46,0,45
ASV_30,0,200,0,0,572,0,15,250,128,1023,559,2753
ASV_31,117,0,128,0,0,0,0,0,0,0,0,0
ASV_32,12,260,95,24,5,0,19,261,382,87,23,43
ASV_33,0,0,0,1,0,2228,0,0,1,0,879,0
ASV_34,0,886,0,52,50,0,73,160,24,133,0,74
ASV_35,94,0,442,0,0,0,0,0,0,0,76,0
ASV_36,63,149,60,109,95,148,40,165,101,86,29,57
ASV_37,0,4,0,2743,30,0,1223,107,0,85,2,15
ASV_38,0,0,41,13,18,444,29,27,0,20,415,13
ASV_39,0,0,0,0,0,0,0,0,8494,0,0,0
ASV_40,0,185,0,0,0,0,5,639,0,0,0,446
ASV_41,0,0,0,3,222,25,6,1210,0,107,0,718
ASV_42,72,0,43,0,0,0,0,0,0,0,0,0
ASV_43,0,0,0,0,0,1267,0,0,0,0,564,0
ASV_44,0,286,0,0,21,0,0,164,0,0,0,7
ASV_45,0,182,21,79,196,74,71,146,115,72,5,245
ASV_46,8,36,160,436,12,0,199,23,58,47,13,13
ASV_47,0,0,0,0,0,0,299,0,0,0,1101,0
ASV_98,0,168,0,0,204,0,25,162,35,239,0,610
ASV_49,15,2641,0,9,4,0,12,11,0,0,3,0
ASV_50,0,91,0,312,212,135,129,81,226,22,0,15
ASV_51,0,0,0,255,0,0,4,254,0,0,0,0
ASV_52,0,0,1649,0,0,0,0,0,0,0,0,0
ASV_53,179,0,36,0,0,19,0,0,0,0,8,0
ASV_54,4,4,6,14,0,0,14,0,4,34,14,0
ASV_55,23,335,19,56,171,0,35,145,179,72,17,115
ASV_56,0,2,0,0,0,0,0,1311,0,0,0,0
ASV_57,0,135,5,0,9,0,0,608,13,0,0,3
ASV_58,0,0,0,32,0,0,0,0,0,0,757,0
ASV_59,0,0,0,0,0,0,0,0,0,1309,82,0
ASV_60,0,0,0,0,0,0,1988,171,0,4,0,533
ASV_61,0,0,0,0,0,0,0,0,0,0,0,0
ASV_62,0,0,0,0,0,0,20,35,0,588,3,2282
ASV_63,0,84,70,15,7,0,0,41,58,12,11,9
ASV_64,271,0,146,0,0,0,0,0,0,0,19,0
ASV_65,0,0,0,0,0,508,0,0,0,0,468,0
ASV_66,0,0,0,0,0,0,19,28,0,575,1,2102
ASV_67,0,0,0,0,0,0,4,0,0,0,1982,0
ASV_68,160,0,86,0,0,0,0,0,0,0,94,0
ASV_69,289,0,138,0,0,0,0,0,0,0,2,0
ASV_70,269,0,0,0,0,0,0,0,0,0,0,0
ASV_71,68,0,10,0,0,0,0,0,0,0,13,0
ASV_72,0,0,0,0,0,0,1,0,0,2284,1,0
ASV_73,0,0,433,0,0,0,9,0,121,0,51,0
ASV_74,0,7,77,0,0,49,0,0,0,0,1,0
ASV_75,0,4,7,0,0,15,0,105,0,263,62,45
ASV_76,0,125,7,64,41,53,68,102,190,81,19,135
ASV_99,0,19,0,271,328,0,255,214,68,52,0,238
ASV_78,0,4,0,384,55,84,123,62,205,21,0,100
ASV_79,0,0,0,0,0,0,0,0,0,0,0,0
ASV_80,0,118,8,19,0,0,0,123,18,0,0,4
ASV_100,0,143,0,0,26,0,4,120,70,110,0,22
ASV_82,0,71,0,803,88,0,324,33,135,116,0,160
ASV_83,94,0,143,0,0,77,0,0,0,0,82,0
ASV_84,0,0,0,0,0,0,15,4,0,10,1063,0
ASV_85,0,0,0,0,0,89,14,3,0,13,1091,0
ASV_86,0,0,0,0,474,0,18,137,0,814,0,267
ASV_87,0,0,0,126,0,0,0,0,0,0,0,0
ASV_88,2,354,36,42,44,81,22,97,83,30,6,18
ASV_89,82,0,31,0,0,0,0,0,0,0,20,0
ASV_90,254,2,0,223,19,0,174,17,1,90,21,108
ASV_91,0,0,0,108,16,0,1308,42,0,124,0,146
ASV_92,14,79,17,45,45,0,38,81,45,74,9,137
ASV_93,0,0,9,0,0,0,0,0,0,0,0,0
ASV_94,0,39,0,90,120,0,75,99,170,137,0,74
ASV_95,31,77,40,28,50,14,28,56,51,27,21,32
ASV_15,16,31,0,15,232,0,6,74,0,199,5,153
ASV_27,0,0,0,0,0,0,9,330,0,0,0,0
ASV_482,0,0,0,4,162,57,17,3,0,43,1,77
ASV_81,0,0,0,227,0,0,0,0,0,85,0,0
ASV_77,2,0,0,0,7,0,0,31,0,1,0,59
