SampleID	Type	Site	Region	Latitude	Longitude
DR7_R1	Sample	DR7	Red Sea	27.274417	35.626496
DR7_R2	Sample	DR7	Red Sea	27.274417	35.626496
DR7_R3	Sample	DR7	Red Sea	27.274417	35.626496
CAT1_R1	Sample	CAT1	Arabian Gulf	23.5859167	58.6097778
CAT1_R2	Sample	CAT1	Arabian Gulf	23.5859167	58.6097778
CAT1_R3	Sample	CAT1	Arabian Gulf	23.5859167	58.6097778
JD01_R1	Sample	JD01	Red Sea	21.45	39.1
JD01_R2	Sample	JD01	Red Sea	21.45	39.1
JD01_R3	Sample	JD01	Red Sea	21.45	39.1
JJ1_R1	Sample	JJ1	Arabian Gulf	27.3599667	49.8885
JJ1_R2	Sample	JJ1	Arabian Gulf	27.3599667	49.8885
JJ1_R3	Sample	JJ1	Arabian Gulf	27.3599667	49.8885
FS11_R1	Sample	FS11	Red Sea	16.89465	42.39625
FS11_R2	Sample	FS11	Red Sea	16.89465	42.39625
FS11_R3	Sample	FS11	Red Sea	16.89465	42.39625
PCR	Control				
Extraction	Control				
